# scores/pwm4.csv
# Captured from IanniX, truncated and deduplicated
# t_seconds, fine_value      (fine_value in [-1, 1])
0.0000, 0.689850
3.9639, 0.689008
6.8827, -0.993348
8.9780, -0.799059
21.0878, -0.716841
23.7876, -0.978549
29.8522, 0.674881
42.1183, 0.667407
47.1291, -0.820806
55.1389, -0.986078
60.0836, -0.387719
80.0537, -0.664281
82.9800, 0.502680
89.1079, 0.270964
94.0607, 0.696962
100.0312, 0.450543
104.0028, -0.948432
104.9760, -0.821498
109.9081, -0.716853
114.4752, -0.933672
118.0649, 0.696516
119.9903, 0.697332
120.0000, 0.689850
