# scores/pwm7.csv
# PWM7 = SC3
# Captured from IanniX, RDP-simplified
# t_seconds, fine_value      (fine_value in [-1, 1])
0.0000, 0.716657
5.6658, 0.708996
6.7682, 0.999448
13.8769, 0.999301
18.4484, -0.963487
23.5840, -0.989709
36.8673, -0.989709
42.0017, 0.910813
50.7446, 0.902412
55.8783, -0.972897
75.8898, -0.989702
79.1171, 0.995247
84.2906, 0.999301
91.7883, -0.964479
93.9719, -0.964282
96.1507, -0.570623
97.5862, -0.964282
99.2692, -0.308878
101.0413, -0.947652
114.2348, -0.930849
114.5505, -0.670628
116.1737, 0.700582
119.9889, 0.700582
120.0000, 0.716657
